Date,Balance,trend,residual,quantile_10,fitted_growth
2020-12-25,17124.915891324177,16498.032584328528,626.883306995649,14760.204074744044,16231.63269613201
2020-12-26,17019.920974673838,16502.057202578762,517.8637720950755,14763.543358093353,16235.602376541685
2020-12-27,16922.237172264548,16506.081820829,416.15535143554735,14766.882641442664,16239.573027794087
2020-12-28,17027.66641647493,16510.106439079234,517.5599773956965,14770.221924791975,16243.54465012665
2020-12-29,17037.834814538142,16514.13105732947,523.7037572086738,14773.561208141286,16247.517243776867
2020-12-30,17094.97751400108,16518.155675579703,576.821838421376,14776.900491490596,16251.490808982286
2020-12-31,17228.911500376522,16522.180293829937,706.7312065465849,14780.239774839905,16255.465345980516
2021-01-01,17032.95621869466,16526.204912080175,506.75130661448566,14783.579058189218,16259.44085500922
2021-01-02,16898.76048970664,16530.22953033041,368.5309593762322,14786.918341538527,16263.417336306125
2021-01-03,16787.685428790715,16534.254148580643,253.43128021007215,14790.257624887838,16267.39479010901
2021-01-04,16875.542263298572,16538.27876683088,337.26349646769086,14793.596908237148,16271.373216655722
2021-01-05,16962.785470010316,16542.303385081115,420.48208492920094,14796.93619158646,16275.352616184155
2021-01-06,17082.271651341995,16546.32800333135,535.9436480106451,14800.27547493577,16279.332988932265
2021-01-07,17263.757304984105,16550.352621581587,713.4046834025175,14803.614758285079,16283.314335138068
2021-01-08,17196.823702805203,16554.37723983182,642.4464629733811,14806.954041634392,16287.29665503964
2021-01-09,17058.894936132037,16558.401858082056,500.4930780499817,14810.2933249837,16291.279948875106
2021-01-10,16930.47344512097,16562.426476332294,368.04696878867617,14813.632608333013,16295.264216882662
2021-01-11,17052.86262801234,16566.451094582528,486.41153342981124,14816.971891682322,16299.249459300552
2021-01-12,17143.167960257902,16570.475712832762,572.6922474251405,14820.311175031633,16303.235676367083
2021-01-13,17124.48454329721,16574.500331083,549.9842122142109,14823.650458380944,16307.222868320621
2021-01-14,17092.08770738923,16578.524949333234,513.5627580559958,14826.989741730253,16311.211035399589
2021-01-15,17083.49704202482,16582.549567583468,500.9474744413528,14830.329025079565,16315.200177842464
2021-01-16,16978.80210234005,16586.574185833702,392.22791650634827,14833.668308428874,16319.190295887787
2021-01-17,16886.280592822324,16590.59880408394,295.68178873838406,14837.007591778187,16323.18138977416
2021-01-18,16905.11047115714,16594.623422334174,310.4870488229644,14840.346875127496,16327.173459740232
2021-01-19,16952.99924360822,16598.64804058441,354.35120302381256,14843.686158476807,16331.166506024721
2021-01-20,17112.446063395142,16602.672658834643,509.77340456049933,14847.025441826117,16335.160528866401
2021-01-21,17112.348084797064,16606.69727708488,505.65080771218345,14850.364725175428,16339.155528504103
2021-01-22,17251.65381530123,16610.721895335115,640.931919966115,14853.704008524739,16343.151505176715
2021-01-23,17135.392356828936,16614.74651358535,520.6458432435866,14857.043291874048,16347.148459123186
2021-01-24,17037.689268253736,16618.771131835587,418.9181364181495,14860.38257522336,16351.146390582519
2021-01-25,17609.97520946763,16622.79575008582,987.1794593818086,14863.72185857267,16355.145299793783
2021-01-26,17713.808116410873,16626.820368336055,1086.9877480748182,14867.06114192198,16359.1451869961
2021-01-27,17866.40889537963,16630.844986586293,1235.5639087933378,14870.400425271291,16363.146052428656
2021-01-28,17761.358728243198,16634.869604836527,1126.4891234066708,14873.739708620602,16367.147896330682
2021-01-29,18001.875808184657,16638.89422308676,1362.9815850978957,14877.078991969913,16371.150718941486
2021-01-30,17892.280383762558,16642.918841337,1249.3615424255586,14880.418275319222,16375.15452050042
2021-01-31,17791.432612044828,16646.943459587234,1144.4891524575942,14883.757558668534,16379.1593012469
2021-02-01,17556.662150388132,16650.968077837468,905.6940725506647,14887.096842017843,16383.165061420405
2021-02-02,17690.326032009605,16654.992696087706,1035.3333359218996,14890.436125367154,16387.17180126046
2021-02-03,17730.073968563513,16659.01731433794,1071.0566542255729,14893.775408716465,16391.17952100667
2021-02-04,17793.14624726236,16663.041932588174,1130.1043146741868,14897.114692065776,16395.18822089867
2021-02-05,18026.022588431995,16667.066550838408,1358.956037593587,14900.453975415086,16399.19790117618
2021-02-06,17882.575882756417,16671.091169088646,1211.4847136677708,14903.793258764395,16403.208562078962
2021-02-07,17759.55556550141,16675.11578733888,1084.4397781625303,14907.132542113708,16407.220203846842
2021-02-08,17846.764353464903,16679.140405589114,1167.6239478757889,14910.471825463017,16411.232826719708
2021-02-09,18206.50007584483,16683.16502383935,1523.335052005481,14913.81110881233,16415.2464309375
