path,balance_y1,rate_y1,rate_shift,core_ratio,eve_path,nii_path,dEVE_path,dNII_path,worst_dEVE,worst_dNII
333,21328.72365498146,0.04328986226057586,0.005789862260575859,0.9269353203428673,21189.77967443567,930.731243721902,2636.47331862574,225.26475528978517,2575.0312160112626,-201.30971780984413
334,24029.609810465932,0.04046695704613309,0.0029669570461330896,0.8396333072438398,23896.54709780152,979.9710620974752,5343.240741991587,274.5045736653583,5280.196285918799,-206.08762254396044
335,22757.534023656175,0.03510375360643131,-0.0023962463935686892,0.8445408153304151,22647.156603467887,806.0821002615583,4093.850247657956,100.61561182944138,4033.3924977974566,-354.53506864368205
336,19541.907512017464,0.02563551736299239,-0.011864482637007609,0.9242084557589639,19465.718926057616,507.73957476211893,912.4125702476849,-197.72691366999794,855.0081750763056,-588.565063904227
337,21409.106655842566,0.03385669352766579,-0.0036433064723342054,0.8805807653250823,21304.669425655982,731.9110916042258,2751.363069846051,26.44460317210894,2692.014489597019,-401.7375299447425
338,21270.975921797894,0.044244802375227106,0.0067448023752271075,0.8412089540029977,21142.302882240543,947.8399948699279,2588.996526430612,242.373506437811,2533.352298716989,-183.04601199814704
339,22380.13523341503,0.04415304710659819,0.006653047106598191,0.8221365541483565,22248.0278922278,995.0508523096752,3694.72153641787,289.5843638775583,3637.470196362472,-158.01834079074217
340,23193.706619008957,0.046878519540752506,0.009378519540752507,0.8492705933587318,23043.9308654272,1094.6731336341454,4490.624509617268,389.20664520202854,4429.58266008021,-74.66748717815085
341,12929.973187679492,0.0389895805208839,0.0014895805208839027,0.8521251941889292,12859.906955475364,508.26588298583755,-5693.399400334567,-197.20060544627933,-5727.881594432292,-455.8000691998693
342,31153.249178082748,0.035273894688854446,-0.002226105311145553,0.8262995244135267,31004.653383253717,1108.549459091869,12451.347027443786,403.08297065975216,12370.354964942071,-219.98201290190252
