Date,Balance,NetCDR,Stress_P85,Stress_P90,Stress_P95
2017-04-09,10708.751777016832,0.00033219977638657535,False,False,False
2017-04-10,10705.194332071129,0.0027958719291748123,False,False,False
2017-04-11,10675.26397974173,0.0037035112662832485,False,False,False
2017-04-12,10635.72801932221,0.0012827364040294258,False,False,False
2017-04-13,10622.08518380847,5.252263255348103e-05,False,False,False
2017-04-14,10621.52728393141,0.008300623770167067,True,True,False
2017-04-15,10533.361982082932,0.007986482439282943,True,True,False
2017-04-16,10449.237471586415,0.0,False,False,False
2017-04-17,10453.862161913066,0.002817552785798239,False,False,False
2017-04-18,10424.407853456418,0.0,False,False,False
2017-04-19,10543.33149219913,0.0,False,False,False
2017-04-20,10547.295774018134,0.0,False,False,False
2017-04-21,10849.113664768012,0.0059219547712147935,False,False,False
2017-04-22,10784.865704337488,0.007481045770810885,True,False,False
