Date,Balance,days_since_start,fitted_decay,kalman_core,quantile_10,volatility_core_95,hp_trend
2022-08-25,19813.04470971394,2063,18865.03562481771,19608.6439561846,16790.488351124855,19372.02216033576,19560.29827286446
2022-08-26,19946.86798667811,2064,18867.8638688733,19640.81749069452,16793.827634474168,19380.317301854087,19547.60183311526
2022-08-27,19819.892224210063,2065,18870.69093351222,19657.851960747434,16797.166917823477,19382.598995162498,19534.959763253846
2022-08-28,19715.499800636266,2066,18873.5168192263,19663.33570701874,16800.506201172786,19384.942163720956,19522.370245074493
2022-08-29,19771.623153437424,2067,18876.34152650716,19673.63654190992,16803.8454845221,19394.376235977405,19509.833658924414
2022-08-30,19896.6453011696,2068,18879.165055846235,19694.850232733683,16807.18476787141,19403.170022691207,19497.351875348
2022-08-31,19777.886075564973,2069,18881.987407734734,19702.74901080393,16810.52405122072,19407.87466660636,19484.928784870306
2022-09-01,19723.123277849983,2070,18884.808582663674,19704.687111366933,16813.86333457003,19412.152139319896,19472.5713589842
2022-09-02,19700.956881651506,2071,18887.628581123863,19704.332273556312,16817.20261791934,19413.39778610623,19460.288829655467
2022-09-03,19572.039945666413,2072,18890.447403605904,19691.747976188224,16820.54190126865,19408.47950954006,19448.092362120875
2022-09-04,19444.28482216978,2073,18893.265050600196,19668.20806297115,16823.88118461796,19396.569179633774,19435.994978623756
2022-09-05,19483.114455741543,2074,18896.081522596935,19650.601048025823,16827.220467967272,19387.99446766037,19424.01065779311
2022-09-06,19464.19981958132,2075,18898.896820086105,19632.86964571446,16830.559751316585,19378.896996625455,19412.153442222792
2022-09-07,19460.270067408943,2076,18901.7109435575,19616.45112429566,16833.899034665894,19369.582425639837,19400.437830554452
2022-09-08,19415.79680019114,2077,18904.5238935007,19597.36389737177,16837.238318015203,19357.538798958678,19388.878723022164
2022-09-09,19364.946533638376,2078,18907.33567040508,19575.255213781576,16840.577601364515,19342.33743390092,19377.491481528494
2022-09-10,19252.01311345956,2079,18910.146274759813,19544.506834210217,16843.916884713824,19321.880366386187,19366.291675677232
2022-09-11,19138.935602507867,2080,18912.95570705387,19505.92690244024,16847.256168063133,19296.635063223042,19355.294778274714
2022-09-12,19085.409815227253,2081,18915.763967776013,19465.925247330997,16850.595451412446,19269.555261408397,19344.51538034826
2022-09-13,19044.08785442105,2082,18918.571057414807,19425.797998245354,16853.93473476176,19241.35863521488,19333.966403487095
2022-09-14,18988.114962697186,2083,18921.37697645861,19384.163433640148,16857.274018111068,19211.3722007304,19323.658770009115
2022-09-15,18987.867662936023,2084,18924.181725395578,19346.465829373883,16860.613301460377,19182.39673123655,19313.601165515025
2022-09-16,18886.04169949071,2085,18926.985304713657,19302.66801994449,16863.95258480969,19149.438795514932,19303.799686532933
2022-09-17,18785.908274390094,2086,18929.787714900594,19253.511289470098,16867.291868158998,19112.943100778208,19294.257916215152
2022-09-18,18692.89887784839,2087,18932.58895644394,19200.183077557766,16870.63115150831,19071.876921304025,19284.976214272734
2022-09-19,18940.85715529379,2088,18935.389029831025,19175.514719436957,16873.97043485762,19045.083325616484,19275.951017965803
2022-09-20,18922.254045381535,2089,18938.187935548995,19151.42331757873,16877.309718206932,19018.234955447006,19267.174196056527
2022-09-21,18913.956924045633,2090,18940.98567408478,19128.8343454228,16880.64900155624,18991.77231163198,19258.63503170628
2022-09-22,18994.05143265247,2091,18943.78224592511,19116.0131313623,16883.98828490555,18975.044654322315,19250.32014665552
2022-09-23,19483.669655171856,2092,18946.577651556516,19150.986429502365,16887.327568254863,18972.164372614065,19242.213503091414
2022-09-24,19337.80488392386,2093,18949.371891465322,19168.757520402232,16890.666851604172,18964.34101395705,19234.297085819075
2022-09-25,19227.312191828416,2094,18952.16496613765,19174.327528952774,16894.006134953484,18955.041223582903,19226.55474273121
2022-09-26,19306.046890826023,2095,18954.956876059423,19186.857322973236,16897.345418302793,18950.34363367136,19218.9711203918
2022-09-27,19347.34021070134,2096,18957.74762171635,19202.123245146293,16900.684701652106,18947.887872735577,19211.53087120935
2022-09-28,19466.84181569392,2097,18960.537203593954,19227.304578514308,16904.023985001415,18954.444788304027,19204.21931947329
2022-09-29,19488.191909711768,2098,18963.325622177545,19252.12146553808,16907.363268350724,18960.04723826548,19197.02283738461
2022-09-30,19630.765970181623,2099,18966.112877952226,19288.139994497615,16910.702551700037,18964.51904875299,19189.929823552462
2022-10-01,19391.5446543739,2100,18968.898971402912,19297.97635469994,16914.041835049346,18962.115304196985,19182.93092326093
2022-10-02,19229.018788620368,2101,18971.683903014306,19291.416771607204,16917.381118398658,18957.206344139653,19176.020183307577
2022-10-03,19271.062261812425,2102,18974.467673270912,19289.480550451186,16920.720401747967,18954.23201172959,19169.19326016382
2022-10-04,19259.66538578141,2103,18977.250282657023,19286.644385238375,16924.05968509728,18950.918273727268,19162.44621924092
2022-10-05,19298.042640173135,2104,18980.03173165675,19287.728643349667,16927.39896844659,18948.831551707408,19155.775911976387
2022-10-06,19261.223318726577,2105,18982.812020753983,19285.207326413038,16930.738251795898,18945.27494175817,19149.179939955615
2022-10-07,19268.44347255083,2106,18985.591150432418,19283.612666122437,16934.07753514521,18940.168612926867,19142.657002501095
2022-10-08,19144.774057354098,2107,18988.36912117555,19270.405654296577,16937.41681849452,18930.6827423919,19136.20666346757
2022-10-09,19036.3153622615,2108,18991.14593346667,19248.13783353222,16940.756101843832,18916.9480000308,19129.829457284388
2022-10-10,18909.133865670443,2109,18993.921587788867,19215.890107541,16944.09538519314,18898.641837383995,19123.525984487344
2022-10-11,18905.138318464127,2110,18996.696084625033,19186.329867852244,16947.434668542453,18880.47358320011,19117.296124052857
