Date,Balance,KMeans_Cluster,KMeans_Core_Label,KMeans_Core_Probability
2017-04-10,10705.194332071129,0,1,1
2017-04-11,10675.26397974173,0,1,1
2017-04-12,10635.72801932221,0,1,1
2017-04-13,10622.08518380847,0,1,1
2017-04-14,10621.52728393141,0,1,1
2017-04-15,10533.361982082932,0,1,1
2017-04-16,10449.237471586415,0,1,1
2017-04-17,10453.862161913066,0,1,1
2017-04-18,10424.407853456418,0,1,1
2017-04-19,10543.33149219913,0,1,1
2017-04-20,10547.295774018134,0,1,1
2017-04-21,10849.113664768012,0,1,1
2017-04-22,10784.865704337488,0,1,1
2017-04-23,10704.18363037129,0,1,1
2017-04-24,10623.84945071933,0,1,1
2017-04-25,10699.516093316508,0,1,1
2017-04-26,10793.631340104335,0,1,1
2017-04-27,10850.042818170925,0,1,1
2017-04-28,11046.875394122731,0,1,1
2017-04-29,10936.213539968943,0,1,1
2017-04-30,10862.127458632249,0,1,1
2017-05-01,10542.308510492756,0,1,1
2017-05-02,10561.65019908946,0,1,1
2017-05-03,10543.109091106677,0,1,1
2017-05-04,10516.999312387185,0,1,1
2017-05-05,10539.621050557162,0,1,1
2017-05-06,10434.316652510955,0,1,1
2017-05-07,10335.347778934378,0,1,1
2017-05-08,10344.525593741737,0,1,1
2017-05-09,10315.38464687746,0,1,1
2017-05-10,10217.423158135918,0,1,1
2017-05-11,10215.83880038702,0,1,1
2017-05-12,10208.078838616197,0,1,1
2017-05-13,10115.010357401656,0,1,1
2017-05-14,9963.236051562077,0,1,1
2017-05-15,9971.676565034822,0,1,1
2017-05-16,9964.039454919664,0,1,1
2017-05-17,10095.441748995418,0,1,1
2017-05-18,10083.400363413377,0,1,1
2017-05-19,10062.792331998824,0,1,1
2017-05-20,9972.405340077075,0,1,1
2017-05-21,9885.242477732138,0,1,1
2017-05-22,9963.333805608752,0,1,1
2017-05-23,9957.971223657036,0,1,1
2017-05-24,10011.320088605022,0,1,1
2017-05-25,10552.288714994282,0,1,1
2017-05-26,10656.026779780665,0,1,1
2017-05-27,10550.467160457056,0,1,1
2017-05-28,10456.50666855598,0,1,1
2017-05-29,10481.902150052068,0,1,1
2017-05-30,10516.37484561634,0,1,1
2017-05-31,10569.209492299706,0,1,1
2017-06-01,10457.424763158402,0,1,1
2017-06-02,10468.531500477267,0,1,1
2017-06-03,10350.922590143944,0,1,1
