Day,Path_0,Path_100,Path_200,Path_300,Path_400,Path_500,Path_600,Path_700,Path_800,Path_900,Pct_5,Pct_25,Pct_50,Pct_75,Pct_95
256,153.74120547088665,168.39252079762014,164.25002133397626,179.72426332157787,161.8698586925626,157.6024144928429,173.73271063502634,163.26456303998344,156.84068221093042,146.50463900945624,134.0274899560816,145.5317880399511,154.07955336269515,163.25738596384758,177.52395418976374
257,149.8809207746786,165.99675999515762,161.82836591066535,175.582599902773,158.07732753873373,155.13657902718256,171.85188484421482,160.40891994400278,154.30119409490328,144.41838019866478,131.3699851382913,142.9626673451221,151.3010555254719,160.24329600344723,173.77554664642258
258,147.64923267848434,163.52642189673725,159.68081494123882,172.78169399926995,155.39247990742487,153.14756920650882,169.36171233481184,157.58884288250684,150.83344828390764,141.9296332639729,128.9606559940684,140.39455991627815,148.2873854619839,157.2758421997359,170.6591861790588
259,144.57087126213227,159.62845580644932,156.8684394222885,170.4708051611611,153.94644158862488,149.41406930694188,167.0564697113694,155.2626280792386,147.31817680012125,141.60308982006416,126.75401337209408,137.7065445406773,145.44720178373487,154.3765709403973,167.3848025062303
260,141.30917173127628,156.80377777139952,152.98733027816402,167.16622019638015,150.9245694326771,147.23375743579786,164.48715443960307,151.1902391285888,145.76592605345837,139.83888686427233,124.353346783626,135.21865816423917,142.81803388074684,151.51791194184162,164.1292636696825
261,139.36546713307212,154.77948118036687,150.81725687669123,163.87274856952942,148.1522710617467,146.26171989434846,159.57925183851958,148.57769849489,142.70433796259042,137.54364280308408,121.82325195890454,132.60967357778503,140.23542857742683,148.51751961107348,161.54577026197586
262,136.82286349576793,152.08710908335354,146.34555454842453,161.5647701959979,144.89308719206866,143.85468724890546,154.5567212571034,145.3756201755918,139.97391070632392,134.87041253444917,119.24755151699419,130.10773304064372,137.62558206607977,145.89361827835825,158.63047275709408
263,136.57967905015389,148.57116574662996,142.26240731127916,159.3579977429805,142.9485426904808,141.29613728522014,151.35958874778242,143.06515388248496,137.00840472597616,132.53706429872602,117.17506574548402,127.65014515553177,135.15515764628975,143.37681804366355,155.54213774695154
264,134.76991651328225,145.36685950329877,138.52462428029048,157.77941862861195,141.81339276000602,138.90903582392252,147.71683166681328,139.68548582733203,134.4561888180231,129.97088353246053,114.76891555272,125.35175804669714,132.57895544865116,140.76183638406823,152.9960805589369
265,132.44579975307957,141.7026140535606,135.52198465074153,154.006260158885,138.06426845951367,138.1935507076602,145.6582276564788,137.84983322066074,133.24585447636812,127.0626717643612,112.91259273978247,122.97434659328978,130.1106675400893,138.09835694516562,150.31095076344687
266,130.84394219949323,138.3183529079276,133.5869931445731,152.8567484576499,134.93246171079088,135.06888219244686,141.7546628223843,134.4595509995706,130.78116453050876,124.7628367830464,111.11441842476557,120.7293281736062,127.76882545364364,135.55832964611582,147.3800242258997
267,127.31107892033154,136.65038869956578,131.04337989545456,149.31438416210983,132.8231695387955,133.79338284132925,139.04920699053923,131.09054313867642,128.36442230273096,122.48547543566816,108.82519928396071,118.3814948951198,125.43163926318317,133.08079955447297,144.78201906901967
268,125.89147607198676,133.7367912467521,128.09463952743982,146.50581012451124,129.00728224886015,131.20627250955846,135.87991614829352,128.19149533423092,125.36098898035536,120.84156171240696,106.62716805508875,116.38881139084293,123.08578138105042,130.61076209469437,141.95568414738392
269,123.84261666407703,130.5503292007465,125.70960633196594,144.2565032288516,125.18022297903087,129.65744253379458,132.61828870130455,125.61527614902373,122.85663322109994,118.37325835037342,104.89685888738578,114.25235223347855,120.6093932342808,128.40400561646965,139.26838299478104
270,121.46126611200305,128.98929954032948,123.68907141074091,140.75727235791769,124.1438992939738,126.98072702059444,130.64322462688702,122.29081860254203,120.90045767389292,116.1908244474744,102.85392492583786,112.08381699628123,118.58151766691333,125.9873018224435,136.61463215362562
271,118.30189190927074,126.4052237581467,121.04108103417212,138.46882530748255,120.91458608837618,124.7466454201458,127.83983458914192,119.80746686082526,118.6831349316906,114.4537385792484,100.85277690010224,110.1748182257861,116.41817101507672,123.39409430435023,134.2185992439512
272,116.98625005903807,124.6313233824047,118.46506367841918,135.04809251525444,118.44984522102368,121.30751287337092,125.17433799101477,116.9029919153068,115.99054789977238,112.18453477325761,99.0774189991228,107.80527321863612,114.22776964194335,120.95051102264819,131.66038812056811
273,114.11165865300184,123.08735277809393,116.24625984921607,133.30604884218303,115.59701905277215,119.51841022422335,123.18600432662299,114.70090090146606,114.87774320076007,109.88969619135528,97.07239992505917,105.82177599015334,112.1367140547124,118.7111504191906,129.2565712714656
274,111.98859168714893,121.1693708376382,114.34783944725595,130.4251555928815,113.1950170440581,117.45728424019887,120.30674859049579,111.83406489148469,112.92302781782762,106.74525084214565,95.25925895836507,104.01171481663496,110.11557252909856,116.45217308811351,127.11080535636943
275,110.47982374789233,119.23714884538842,112.28494779903654,128.6322118384808,111.26923445637367,114.26365499596947,118.51917854398836,109.66997486670412,110.97190050073691,105.38346129858195,93.58763176029572,102.10011448272397,107.97931318731798,114.44587230094257,124.71280375081353
276,108.16595862325234,117.23227383868796,110.187022694653,126.60056265322379,109.43556896523785,111.88659347805451,117.01101856177968,107.56506035243129,108.49734498494047,103.56505600765107,91.87585910946821,100.19766027553972,106.09414858391924,112.3219577932422,122.39899778107323
277,106.04780694640215,114.92886622346477,106.88633630365132,124.51900774924158,107.89449291077486,109.52483186888406,115.37402498205513,105.40377870762707,105.92945486878148,101.71602332687853,89.99928493270743,98.22092021074876,104.06575286800853,110.19188008006319,119.89662794619048
278,104.40980834239694,113.3095996426344,104.22843539051178,122.44410739033627,105.99468383934035,108.69413423044276,113.99943455236328,103.33415309865401,104.03718713035857,99.31342498126287,88.48642190513894,96.41437954842084,102.27514739596005,108.11646298019352,117.58616762925914
279,102.4350571169505,111.42302020310446,102.80243948454007,120.42231164084562,103.9249874406753,106.94021555341071,112.55966764517474,102.01690177880549,102.24461762126995,96.99892625968685,86.82465420022508,94.50418851300054,100.40043320942154,106.15648790904822,115.509182067689
280,100.73893124141162,108.47877686891779,100.59742578533312,117.43209115965006,101.91737737248134,105.4545991837016,109.59726863186343,100.07550704124044,100.1708370305563,95.55013446755203,85.19206521427976,92.91631290157176,98.55857778101398,104.45034277961054,113.33208347813
281,98.8108174605961,107.38242361680827,98.39995277202773,115.3848236142299,98.55462242341858,103.00561530556098,108.86633416926286,97.82490511316625,99.33134847721793,94.31400513191032,83.60529346475374,91.12953684414398,96.56950113461465,102.36776423654341,111.1848750255206
282,96.63905449163049,105.55971054014118,96.59113420270434,113.001668418918,96.97723117703657,101.04327960725506,105.83201913906554,95.48045714550162,97.42203586562152,92.66314281808175,82.39382769082731,89.43769706799097,94.93192730633442,100.53726544259622,109.27361316469926
283,94.05294725939643,103.03166786574714,95.76629895406289,111.45295756917702,95.18632839026488,98.94994879814107,104.56259291966118,94.20188551170777,95.15497137614281,91.20435414519727,80.53330792559692,87.66841956346562,93.10784553353727,98.62033466281862,107.13395462771585
284,92.91057780906046,100.75803761236917,93.316856493416,109.15843973329635,93.7867101503273,96.8282957611657,102.01339757073949,92.22638661339118,93.41011045682625,89.22808670416737,78.9855790772832,86.1456525174865,91.38080669128499,96.57858268432852,104.97331553258573
285,90.16121397550795,99.3783652218278,92.47903243000354,107.1215740889352,92.15224397617084,95.41749957853423,100.03475576601991,90.69809973035346,91.22251634902895,87.09431951813075,77.54157952432251,84.39531492591102,89.69323202207973,94.73185392457637,103.02835890134932
286,89.39940738940663,97.10115184586496,90.29754575081657,104.55749595867407,89.70294240978713,93.90527658079,99.21026284877861,89.70057257669264,89.25464478274873,85.11721714103778,76.23242547984155,82.9341440913733,88.09927173636305,92.97325317531894,101.09468483814068
287,87.8110782320116,95.68358322937371,88.06555930626226,102.56270032321171,88.11229448590794,93.19261586365477,96.9292677032884,88.02151051092113,88.18699601769484,83.00712028439118,74.73692091356807,81.38305635247039,86.41454981919635,91.31921668782971,99.20099647662329
288,85.91462359209798,92.72065580280699,86.51694896446746,101.44405126655238,87.15245368226476,91.5295503885786,94.79448071819719,86.9213688897519,86.95914897977262,81.89517944243808,73.34929491068011,79.81747230837036,84.77839123026232,89.7213997197136,97.56530764691404
289,84.19577648905218,91.94516775197212,85.27107748297227,99.07641110013067,85.98617667050664,89.51138744522957,92.6229498838828,85.38343136860396,85.77837934342357,80.78542430726915,72.01493689369684,78.28449363796439,83.3766783046159,88.15809415434012,95.54982983902705
