Days,Years,S(t),Cumulative_Decay
1170,3.2054794520547945,3.052284600863327e-10,0.9999999996947715
1171,3.208219178082192,2.9956579722096786e-10,0.9999999997004342
1172,3.210958904109589,2.9400818927321363e-10,0.9999999997059918
1173,3.213698630136986,2.885536872420476e-10,0.9999999997114463
1174,3.2164383561643834,2.8320037828472597e-10,0.9999999997167996
1175,3.219178082191781,2.779463850459677e-10,0.9999999997220537
1176,3.221917808219178,2.727898649995834e-10,0.9999999997272101
1177,3.2246575342465755,2.677290098023186e-10,0.9999999997322709
1178,3.2273972602739724,2.627620446596852e-10,0.999999999737238
1179,3.23013698630137,2.578872277035571e-10,0.9999999997421127
1180,3.232876712328767,2.531028493813136e-10,0.9999999997468971
1181,3.2356164383561645,2.484072318563154e-10,0.9999999997515928
1182,3.2383561643835614,2.4379872841950296e-10,0.9999999997562012
1183,3.241095890410959,2.39275722911911e-10,0.9999999997607243
1184,3.243835616438356,2.3483662915789686e-10,0.9999999997651634
1185,3.2465753424657535,2.3047989040888325e-10,0.9999999997695201
1186,3.249315068493151,2.2620397879742149e-10,0.9999999997737961
1187,3.252054794520548,2.2200739480138248e-10,0.9999999997779926
1188,3.254794520547945,2.1788866671808842e-10,0.9999999997821113
1189,3.2575342465753425,2.1384635014820043e-10,0.9999999997861536
1190,3.26027397260274,2.0987902748918132e-10,0.999999999790121
1191,3.263013698630137,2.0598530743815554e-10,0.9999999997940147
1192,3.265753424657534,2.0216382450399245e-10,0.9999999997978362
1193,3.2684931506849315,1.9841323852844124e-10,0.9999999998015867
1194,3.271232876712329,1.9473223421615007e-10,0.9999999998052678
1195,3.2739726027397262,1.9111952067340434e-10,0.9999999998088804
1196,3.276712328767123,1.8757383095542225e-10,0.9999999998124262
1197,3.2794520547945205,1.8409392162204927e-10,0.999999999815906
1198,3.282191780821918,1.8067857230169525e-10,0.9999999998193214
1199,3.2849315068493152,1.7732658526336155e-10,0.9999999998226734
1200,3.287671232876712,1.74036784996608e-10,0.9999999998259632
1201,3.2904109589041095,1.7080801779931247e-10,0.999999999829192
1202,3.293150684931507,1.676391513730783e-10,0.9999999998323609
1203,3.2958904109589042,1.6452907442614776e-10,0.9999999998354709
1204,3.2986301369863016,1.614766962836827e-10,0.9999999998385233
1205,3.3013698630136985,1.5848094650527482e-10,0.9999999998415191
1206,3.304109589041096,1.5554077450955247e-10,0.9999999998444592
1207,3.3068493150684932,1.526551492057515e-10,0.9999999998473449
1208,3.3095890410958906,1.498230586321214e-10,0.999999999850177
1209,3.3123287671232875,1.470435096010398e-10,0.9999999998529565
1210,3.315068493150685,1.4431552735071094e-10,0.9999999998556844
1211,3.317808219178082,1.4163815520332577e-10,0.9999999998583619
1212,3.3205479452054796,1.39010454229564e-10,0.9999999998609895
1213,3.3232876712328765,1.3643150291932053e-10,0.9999999998635685
1214,3.326027397260274,1.3390039685854024e-10,0.9999999998660996
1215,3.328767123287671,1.314162484120487e-10,0.9999999998685838
1216,3.3315068493150686,1.289781864122667e-10,0.9999999998710218
1217,3.334246575342466,1.2658535585369993e-10,0.9999999998734146
1218,3.336986301369863,1.2423691759309674e-10,0.999999999875763
1219,3.33972602739726,1.2193204805516822e-10,0.999999999878068
1220,3.3424657534246576,1.1966993894376822e-10,0.9999999998803301
1221,3.345205479452055,1.1744979695843146e-10,0.9999999998825502
1222,3.347945205479452,1.1527084351617042e-10,0.9999999998847292
1223,3.350684931506849,1.1313231447843366e-10,0.9999999998868677
1224,3.3534246575342466,1.1103345988312952e-10,0.9999999998889666
1225,3.356164383561644,1.0897354368162153e-10,0.9999999998910265
1226,3.3589041095890413,1.0695184348060295e-10,0.9999999998930481
1227,3.361643835616438,1.0496765028876027e-10,0.9999999998950323
1228,3.3643835616438356,1.0302026826813663e-10,0.9999999998969797
1229,3.367123287671233,1.0110901449010789e-10,0.999999999898891
1230,3.3698630136986303,9.923321869588598e-11,0.9999999999007668
1231,3.372602739726027,9.739222306146551e-11,0.9999999999026078
1232,3.3753424657534246,9.558538196693095e-11,0.9999999999044146
1233,3.378082191780822,9.381206177004381e-11,0.9999999999061879
1234,3.3808219178082193,9.207164058403028e-11,0.9999999999079283
1235,3.3835616438356166,9.036350805949132e-11,0.9999999999096365
1236,3.3863013698630136,8.868706517035888e-11,0.9999999999113129
1237,3.389041095890411,8.704172400382304e-11,0.9999999999129583
1238,3.3917808219178083,8.542690755415655e-11,0.9999999999145731
1239,3.3945205479452056,8.384204952036425e-11,0.999999999916158
1240,3.3972602739726026,8.228659410758668e-11,0.9999999999177134
1241,3.4,8.075999583218803e-11,0.99999999991924
1242,3.4027397260273973,7.926171933046011e-11,0.9999999999207383
1243,3.4054794520547946,7.779123917087533e-11,0.9999999999222088
1244,3.408219178082192,7.63480396698228e-11,0.999999999923652
1245,3.410958904109589,7.493161471076287e-11,0.9999999999250684
1246,3.4136986301369863,7.354146756673689e-11,0.9999999999264585
1247,3.4164383561643836,7.217711072616965e-11,0.9999999999278228
1248,3.419178082191781,7.083806572190365e-11,0.9999999999291619
1249,3.421917808219178,6.952386296340519e-11,0.9999999999304762
1250,3.4246575342465753,6.823404157208331e-11,0.9999999999317659
1251,3.4273972602739726,6.696814921966404e-11,0.9999999999330319
1252,3.43013698630137,6.572574196956311e-11,0.9999999999342742
1253,3.4328767123287673,6.450638412120151e-11,0.9999999999354936
1254,3.4356164383561643,6.33096480572094e-11,0.9999999999366903
1255,3.4383561643835616,6.213511409346475e-11,0.9999999999378649
1256,3.441095890410959,6.098237033191398e-11,0.9999999999390177
1257,3.4438356164383563,5.98510125161232e-11,0.999999999940149
1258,3.4465753424657533,5.87406438895093e-11,0.9999999999412593
1259,3.4493150684931506,5.765087505620109e-11,0.9999999999423491
1260,3.452054794520548,5.658132384448184e-11,0.9999999999434187
1261,3.4547945205479453,5.5531615172765236e-11,0.9999999999444684
1262,3.4575342465753423,5.450138091805778e-11,0.9999999999454986
1263,3.4602739726027396,5.3490259786861505e-11,0.9999999999465098
1264,3.463013698630137,5.249789718847174e-11,0.9999999999475021
1265,3.4657534246575343,5.152394511062548e-11,0.9999999999484761
1266,3.4684931506849317,5.0568061997456696e-11,0.9999999999494319
1267,3.4712328767123286,4.962991262971598e-11,0.99999999995037
1268,3.473972602739726,4.8709168007212224e-11,0.9999999999512909
1269,3.4767123287671233,4.7805505233435355e-11,0.9999999999521945
1270,3.4794520547945207,4.691860740231957e-11,0.9999999999530814
1271,3.4821917808219176,4.6048163487107345e-11,0.9999999999539518
1272,3.484931506849315,4.5193868231275245e-11,0.9999999999548062
1273,3.4876712328767123,4.435542204148334e-11,0.9999999999556446
1274,3.4904109589041097,4.353253088251065e-11,0.9999999999564675
1275,3.493150684931507,4.2724906174139695e-11,0.9999999999572751
1276,3.495890410958904,4.193226468995415e-11,0.9999999999580678
1277,3.4986301369863013,4.1154328458014014e-11,0.9999999999588457
1278,3.5013698630136987,4.039082466337341e-11,0.9999999999596092
1279,3.504109589041096,3.964148555240698e-11,0.9999999999603585
1280,3.506849315068493,3.890604833891116e-11,0.9999999999610939
1281,3.5095890410958903,3.8184255111947566e-11,0.9999999999618158
1282,3.5123287671232877,3.747585274539602e-11,0.9999999999625242
1283,3.515068493150685,3.6780592809185577e-11,0.9999999999632194
1284,3.5178082191780824,3.609823148217246e-11,0.9999999999639018
1285,3.5205479452054793,3.542852946663425e-11,0.9999999999645715
1286,3.5232876712328767,3.477125190435041e-11,0.9999999999652287
1287,3.526027397260274,3.4126168294239744e-11,0.9999999999658739
1288,3.5287671232876714,3.349305241152578e-11,0.9999999999665069
1289,3.5315068493150683,3.28716822284019e-11,0.9999999999671283
1290,3.5342465753424657,3.226183983616824e-11,0.9999999999677381
1291,3.536986301369863,3.166331136881318e-11,0.9999999999683367
1292,3.5397260273972604,3.1075886928012515e-11,0.9999999999689241
1293,3.5424657534246577,3.049936050952008e-11,0.9999999999695006
1294,3.5452054794520547,2.9933529930924024e-11,0.9999999999700665
1295,3.547945205479452,2.9378196760743274e-11,0.9999999999706218
1296,3.5506849315068494,2.8833166248839543e-11,0.9999999999711668
1297,3.5534246575342467,2.829824725812022e-11,0.9999999999717017
1298,3.5561643835616437,2.777325219750842e-11,0.9999999999722268
1299,3.558904109589041,2.725799695615655e-11,0.999999999972742
1300,3.5616438356164384,2.6752300838880337e-11,0.9999999999732477
1301,3.5643835616438357,2.6255986502790747e-11,0.999999999973744
1302,3.5671232876712327,2.5768879895101477e-11,0.9999999999742312
1303,3.56986301369863,2.5290810192090282e-11,0.9999999999747092
1304,3.5726027397260274,2.4821609739192693e-11,0.9999999999751784
1305,3.5753424657534247,2.4361113992207145e-11,0.9999999999756389
1306,3.578082191780822,2.3909161459590846e-11,0.9999999999760908
1307,3.580821917808219,2.3465593645826223e-11,0.9999999999765344
1308,3.5835616438356164,2.3030254995838023e-11,0.9999999999769698
1309,3.5863013698630137,2.2602992840441607e-11,0.999999999977397
1310,3.589041095890411,2.2183657342803303e-11,0.9999999999778163
1311,3.591780821917808,2.1772101445894017e-11,0.9999999999782279
1312,3.5945205479452054,2.1368180820917733e-11,0.9999999999786319
1313,3.5972602739726027,2.097175381669674e-11,0.9999999999790282
1314,3.6,2.0582681409995898e-11,0.9999999999794174
1315,3.6027397260273974,2.0200827156768486e-11,0.9999999999797992
1316,3.6054794520547944,1.982605714430657e-11,0.999999999980174
1317,3.6082191780821917,1.945823994427905e-11,0.9999999999805418
1318,3.610958904109589,1.9097246566640996e-11,0.9999999999809027
1319,3.6136986301369864,1.8742950414398027e-11,0.9999999999812571
1320,3.6164383561643834,1.839522723920995e-11,0.9999999999816048
1321,3.6191780821917807,1.805395509781803e-11,0.999999999981946
1322,3.621917808219178,1.771901430928061e-11,0.999999999982281
1323,3.6246575342465754,1.7390287413002157e-11,0.9999999999826097
1324,3.627397260273973,1.7067659127540915e-11,0.9999999999829323
1325,3.6301369863013697,1.6751016310180783e-11,0.999999999983249
1326,3.632876712328767,1.644024791725323e-11,0.9999999999835597
1327,3.6356164383561644,1.613524496519532e-11,0.9999999999838648
1328,3.638356164383562,1.5835900492330196e-11,0.9999999999841641
1329,3.6410958904109587,1.5542109521356626e-11,0.9999999999844579
1330,3.643835616438356,1.5253769022534445e-11,0.9999999999847462
1331,3.6465753424657534,1.4970777877552988e-11,0.9999999999850292
1332,3.649315068493151,1.4693036844069852e-11,0.999999999985307
1333,3.652054794520548,1.4420448520907527e-11,0.9999999999855795
1334,3.654794520547945,1.4152917313895731e-11,0.9999999999858471
1335,3.6575342465753424,1.3890349402347417e-11,0.9999999999861097
1336,3.66027397260274,1.3632652706156741e-11,0.9999999999863673
1337,3.663013698630137,1.3379736853507436e-11,0.9999999999866203
1338,3.665753424657534,1.3131513149180258e-11,0.9999999999868685
1339,3.6684931506849314,1.2887894543448403e-11,0.9999999999871121
1340,3.671232876712329,1.2648795601549993e-11,0.9999999999873512
1341,3.673972602739726,1.2414132473726892e-11,0.9999999999875858
1342,3.6767123287671235,1.2183822865819393e-11,0.9999999999878162
1343,3.6794520547945204,1.1957786010406421e-11,0.9999999999880422
1344,3.682191780821918,1.1735942638481158e-11,0.999999999988264
1345,3.684931506849315,1.1518214951652144e-11,0.9999999999884818
1346,3.6876712328767125,1.1304526594860113e-11,0.9999999999886955
1347,3.6904109589041094,1.1094802629600984e-11,0.9999999999889052
1348,3.6931506849315068,1.0888969507645634e-11,0.999999999989111
