Date,Balance,trend,residual,quantile_10,fitted_growth
2017-03-01,10852.236475437716,10883.690125250298,-31.453649812581716,10101.903802455829,11540.196291978024
2017-03-02,10823.145500997289,10887.714743500534,-64.56924250324482,10105.24308580514,11543.01861379852
2017-03-03,10777.809755247848,10891.739361750768,-113.92960650291934,10108.58236915445,11545.841625858622
2017-03-04,10656.451140058083,10895.763980001004,-239.31283994292062,10111.921652503761,11548.665328327126
2017-03-05,10545.70689036869,10899.788598251238,-354.08170788254756,10115.26093585307,11551.48972137289
2017-03-06,10603.250978436226,10903.813216501474,-300.5622380652476,10118.60021920238,11554.314805164799
2017-03-07,10629.861935718362,10907.83783475171,-277.97589903334847,10121.939502551691,11557.140579871786
2017-03-08,10581.622766128634,10911.862453001944,-330.23968687331035,10125.278785901002,11559.967045662825
2017-03-09,10553.872667121072,10915.88707125218,-362.0144041311087,10128.618069250313,11562.79420270693
2017-03-10,10534.691727979,10919.911689502416,-385.2199615234167,10131.957352599624,11565.622051173159
2017-03-11,10499.776851017314,10923.93630775265,-424.1594567353368,10135.296635948935,11568.45059123061
2017-03-12,10398.707286759003,10927.960926002886,-529.2536392438833,10138.635919298245,11571.279823048417
2017-03-13,10394.97985757528,10931.98554425312,-537.0056866778414,10141.975202647554,11574.109746795762
2017-03-14,10385.46846252526,10936.010162503357,-550.5416999780973,10145.314485996865,11576.94036264187
2017-03-15,10370.670205071769,10940.03478075359,-569.3645756818223,10148.653769346176,11579.771670755996
2017-03-16,10425.243845359064,10944.059399003827,-518.815553644763,10151.993052695487,11582.60367130745
2017-03-17,10414.459630384765,10948.084017254063,-533.6243868692982,10155.332336044798,11585.436364465579
2017-03-18,10321.49062501514,10952.108635504297,-630.6180104891573,10158.671619394108,11588.269750399768
2017-03-19,10229.692338241404,10956.133253754533,-726.4409155131289,10162.01090274342,11591.103829279442
2017-03-20,10360.698106083995,10960.15787200477,-599.4597659207739,10165.350186092728,11593.938601274072
2017-03-21,10329.99036443742,10964.182490255003,-634.1921258175826,10168.689469442039,11596.774066553173
2017-03-22,10404.93578952682,10968.20710850524,-563.271318978419,10172.02875279135,11599.610225286297
2017-03-23,10878.346984002714,10972.231726755474,-93.88474275275985,10175.36803614066,11602.447077643035
2017-03-24,11103.328328181728,10976.25634500571,127.07198317601797,10178.707319489971,11605.284623793024
2017-03-25,10989.278795263648,10980.280963255946,8.997832007702527,10182.046602839282,11608.122863905943
2017-03-26,10892.49594249633,10984.30558150618,-91.80963900984898,10185.385886188593,11610.96179815151
2017-03-27,10945.545404739998,10988.330199756416,-42.784795016417775,10188.725169537904,11613.801426699483
2017-03-28,11030.206094627349,10992.35481800665,37.85127662069863,10192.064452887213,11616.641749719665
