Day,S(t)_1.0x (Base),S(t)_1.5x Stress,S(t)_2.0x Stress
523,5.578867648623492e-05,3.886617178413389e-07,2.5817693536806324e-09
524,5.475367317574054e-05,3.7784591641089623e-07,2.4859742928800164e-09
525,5.373787146528768e-05,3.673311005296156e-07,2.3937336524852014e-09
526,5.274091512273639e-05,3.571088942762687e-07,2.30491554777984e-09
527,5.176245452484062e-05,3.4717115481741666e-07,2.219392987553816e-09
528,5.080214653463864e-05,3.3750996592096996e-07,2.1370436925325235e-09
529,4.985965438111812e-05,3.281176316502536e-07,2.057749920543219e-09
530,4.893464754111367e-05,3.18986670233557e-07,1.981398298168479e-09
531,4.8026801623395495e-05,3.1010980810428326e-07,1.907879658646056e-09
532,4.713579825490842e-05,3.0147997410695134e-07,1.8370888857833667e-09
533,4.6261324969121426e-05,2.930902938644354e-07,1.768924763663447e-09
534,4.5403075096448596e-05,2.8493408430195437e-07,1.703289831927474e-09
535,4.456074765670294e-05,2.7700484832344976e-07,1.6400902464269534e-09
536,4.373404725354547e-05,2.692962696361107e-07,1.5792356450463212e-09
537,4.292268397089248e-05,2.61802207718924e-07,1.5206390185041247e-09
538,4.21263732712447e-05,2.5451669293124094e-07,1.464216585948048e-09
539,4.134483589590263e-05,2.47433921757464e-07,1.4098876751659137e-09
540,4.0577797767033153e-05,2.405482521840667e-07,1.3575746072413865e-09
541,3.982498989155303e-05,2.3385419920526264e-07,1.307202585489459e-09
542,3.9086148266795486e-05,2.2734643045374427e-07,1.2586995885129229e-09
543,3.8361013787927025e-05,2.210197619530111e-07,1.2119962672269189e-09
544,3.764933215708172e-05,2.1486915398790314e-07,1.167025845704329e-09
545,3.6950853794181375e-05,2.0888970709005075e-07,1.1237240257002462e-09
546,3.626533374941015e-05,2.0307665813504245e-07,1.082028894719005e-09
547,3.559253161731289e-05,1.9742537654820205e-07,1.0418808374923362e-09
548,3.493221145248726e-05,1.9193136061595268e-07,1.0032224507420682e-09
549,3.428414168683984e-05,1.8659023389982915e-07,9.659984611055148e-10
550,3.364809504837741e-05,1.8139774175028265e-07,9.301556461061889e-10
551,3.302384848150478e-05,1.7634974791750002e-07,8.956427580568559e-10
552,3.241118306880127e-05,1.7144223125653848e-07,8.624104507861185e-10
553,3.1809883954248415e-05,1.666712825241508e-07,8.304112090837699e-10
554,3.1219740267882014e-05,1.6203310126474947e-07,7.995992807640363e-10
555,3.0640545051841976e-05,1.575239927830292e-07,7.699306112495732e-10
556,3.007209518779415e-05,1.5314036520083642e-07,7.413627805826857e-10
557,2.9514191325698613e-05,1.4887872659594073e-07,7.138549427737095e-10
558,2.89666378138995e-05,1.4473568222043007e-07,6.873677673998372e-10
559,2.8429242630511797e-05,1.4070793179651292e-07,6.618633833708849e-10
560,2.7901817316081052e-05,1.3679226688757373e-07,6.373053247815976e-10
561,2.7384176907492427e-05,1.329855683423877e-07,6.136584787730748e-10
562,2.687613987310586e-05,1.2928480381045868e-07,5.908890353287663e-10
563,2.6377528049094622e-05,1.2568702532650086e-07,5.689644389332595e-10
564,2.588816657696493e-05,1.2218936696214042e-07,5.478533420247391e-10
565,2.5407883842234707e-05,1.1878904254296645e-07,5.275255601745667e-10
566,2.4936511414250005e-05,1.1548334342911233e-07,5.079520289298958e-10
567,2.447388398711795e-05,1.1226963635759986e-07,4.891047622576171e-10
568,2.4019839321735497e-05,1.0914536134472732e-07,4.709568125302167e-10
569,2.3574218188893722e-05,1.0610802964683061e-07,4.5348223199633633e-10
570,2.3136864313437617e-05,1.0315522177779283e-07,4.366560356809463e-10
571,2.2707624319461856e-05,1.0028458558172336e-07,4.2045416566208537e-10
572,2.228634767652331e-05,9.749383435927099e-08,4.0485345667309256e-10
573,2.187288664685143e-05,9.478074504607856e-08,3.8983160298114733e-10
574,2.146709623353798e-05,9.214315644192825e-08,3.7536712649476327e-10
575,2.1068834129688012e-05,8.957896748916663e-08,3.6143934605463395e-10
576,2.067796066851414e-05,8.70861355990384e-08,3.480283478639251e-10
577,2.0294338774356725e-05,8.466267502459533e-08,3.351149570157329e-10
578,1.991783391461272e-05,8.23066552788844e-08,3.22680710077e-10
579,1.9548314052556343e-05,8.001619959715524e-08,3.1070782868968925e-10
580,1.9185649601035046e-05,7.778948344186157e-08,2.991791941514709e-10
581,1.8829713377024498e-05,7.562473304926606e-08,2.8807832293957854e-10
582,1.8480380557026714e-05,7.352022401649066e-08,2.773893431428379e-10
