Date,Actual_Balance,Predicted_Pure_Decay,Predicted_Monthly_Reanchored,Error_Pure,Pct_Error_Pure
2023-01-28,19118.354316243727,11257.547954234697,11257.547954234697,7860.806362009031,41.11654294078111
2023-01-29,18989.23949997299,11046.86207451737,11046.86207451737,7942.377425455621,41.82567409014414
2023-01-30,19012.92401855813,10840.119197316464,10840.119197316464,8172.804821241665,42.985522969872264
2023-01-31,19115.255873806505,10637.245529035246,10637.245529035246,8478.010344771259,44.352063088983364
2023-02-01,18878.61422827317,10438.168657129854,18878.61422827317,8440.445571143317,44.709031442057096
2023-02-02,18907.070091265792,10242.817524262775,18525.299504436567,8664.252567003017,45.82546383538034
2023-02-03,18905.200368599955,10051.122402940055,18178.59709295352,8854.0779656599,46.834086881014095
2023-02-04,18820.94803283957,9863.014870623181,17838.383243887478,8957.933162216388,47.59554697556263
2023-02-05,18711.57629341393,9678.427785306734,17504.5365232915,9033.148508107197,48.27572175887004
2023-02-06,18605.09758448961,9497.295261553112,17176.93776986434,9107.802322936497,48.953262844099996
2023-02-07,18715.96468725948,9319.552646975766,16855.470052417724,9396.412040283712,50.20533110259677
2023-02-08,18663.881428498145,9145.136499162563,16540.018628139595,9518.744929335582,51.000886207952846
2023-02-09,18614.419278840487,8973.984563031008,16230.470901638488,9640.434715809479,51.79014489465176
2023-02-10,18553.019105460226,8806.035748607286,15926.716384754385,9746.98335685294,52.535834202770616
2023-02-11,18439.965712649744,8641.230109221167,15628.646657121724,9798.735603428577,53.1385782171313
2023-02-12,18330.18489445817,8479.50882010898,15336.155327470464,9850.676074349189,53.74018937107056
2023-02-13,18302.71357930873,8320.814157417051,15049.137995651394,9981.899421891678,54.53781144876923
2023-02-14,18251.9174376354,8165.08947759809,14767.492215372165,10086.82796003731,55.26448382479695
2023-02-15,18233.57157319278,8012.279197193169,14491.117457630706,10221.292375999612,56.05754382771108
2023-02-16,18184.109423535123,7862.328772992091,14219.915074832988,10321.78065054303,56.762640446850114
2023-02-17,18367.59417301201,7715.184682565047,13953.78826558232,10652.409490446964,57.99567101770372
2023-02-18,18258.044216806087,7570.794405158643,13692.642040127635,10687.249811647445,58.53447217424357
2023-02-19,18160.00986919576,7429.1064029494355,13436.383186458388,10730.903466246325,59.09084600470847
2023-02-20,18176.10238071279,7290.070102648333,13184.920237034024,10886.032278064456,59.892005722942855
2023-02-21,18135.44284108918,7153.635877449258,12938.163436136067,10981.806963639923,60.55439097830365
2023-02-22,18136.96924547118,7019.75502931564,12696.024707831251,11117.21421615554,61.29587620562085
2023-02-23,18163.306534587497,6888.379771598425,12458.417624534204,11274.926762989071,62.07529857803578
2023-02-24,18687.17134168363,6759.46321197939,12225.257376158494,11927.708129704239,63.82832324707313
2023-02-25,18559.23358666577,6632.959335733668,11996.460739845006,11926.274250932103,64.26059672798536
2023-02-26,18449.501923883337,6508.822989305525,11771.946050256865,11940.678934577812,64.72087422111005
2023-02-27,18624.27252146476,6387.009864191512,11551.633170430285,12237.26265727325,65.70599008991957
2023-02-28,18989.122793856604,6267.476481125243,11335.443463170948,12721.646312731362,66.9943864750145
2023-03-01,18891.20255741186,6150.1801745581615,18891.20255741186,12741.022382853698,67.44421030970751
2023-03-02,18874.33220502891,6035.079077430752,18537.652242022854,12839.253127598158,68.02493983960527
2023-03-03,18797.53050174286,5922.132106228747,18190.718648101516,12875.398395514116,68.49515894824769
2023-03-04,18645.64938170848,5811.298946319029,17850.27794319437,12834.350435389453,68.83294956720599
2023-03-05,18515.6163642114,5702.5400375599465,17516.20861238188,12813.076326651455,69.20145716249387
2023-03-06,18559.57999104725,5595.816560180962,17188.391414905618,12963.763430866285,69.84944399129577
2023-03-07,18580.443520569577,5491.090420926541,16866.709341607148,13089.353099643036,70.4469356996371
2023-03-08,18672.64444335875,5388.324239459367,16551.047573163494,13284.320203899382,71.14321832772958
2023-03-09,18601.91095225463,5287.4813350180275,16241.293439104174,13314.429617236605,71.57560129930005
2023-03-10,18542.542950090967,5188.525713324391,15937.336377595257,13354.017236766576,72.0182623964264
2023-03-11,18415.88695329978,5091.422053736024,15639.067895976083,13324.464899563758,72.3530988941929
2023-03-12,18293.689379295804,4996.135696639046,15346.381532034522,13297.553682656759,72.68929414373075
2023-03-13,18323.46877453295,4902.632631076925,15059.172816006962,13420.836143456025,73.24397093474519
2023-03-14,18302.95663156702,4810.879482610809,14777.339233289493,13492.07714895621,73.71528775676872
2023-03-15,18288.757428153007,4720.843501407049,14500.780187846934,13567.913926745958,74.18718291850728
2023-03-16,18281.482246589298,4632.492550547664,14229.396966306682,13648.989696041634,74.66019172809727
2023-03-17,18442.11474790012,4545.795094559571,13963.092702724516,13896.319653340548,75.35100959570175
2023-03-18,18313.270750276813,4460.720188158509,13701.772344009858,13852.550562118304,75.6421436182224
2023-03-19,18192.930287691503,4377.237465203597,13445.342615998052,13815.692822487905,75.93989865302218
2023-03-20,18227.64912606427,4295.317127858629,13193.71199015765,13932.33199820564,76.43515574525392
2023-03-21,18201.030950295117,4214.929935956206,12946.790650920737,13986.10101433891,76.84235608704427
2023-03-22,18313.119910079055,4136.04719656092,12704.49046362469,14177.072713518133,77.41484128936135
2023-03-23,18377.785596618083,4058.6407537278674,12466.724943053909,14319.144842890215,77.91550710834962
2023-03-24,18982.172691058797,3982.682978452827,12233.40922257028,14999.48971260597,79.01882443452432
2023-03-25,18860.536854621296,3908.146758810528,12004.46002382139,14952.390095810768,79.27870882501982
2023-03-26,18738.8993954342,3835.005490277473,11779.795627015608,14903.893905156727,79.53452116183576
2023-03-27,18823.14352673312,3763.2330662358813,11559.335841753531,15059.91046049724,80.0074144847738
2023-03-28,18917.688190978137,3692.8038686553377,11343.001978405275,15224.8843223228,80.4796239827209
2023-03-29,18906.88544380441,3623.6927589488473,11130.716820023452,15283.192684855563,80.83400478773042
2023-03-30,18924.713636637796,3555.8750690000106,10922.404594781814,15368.838567637786,81.210415453178
2023-03-31,19077.78680897542,3489.326592358136,10717.990948929693,15588.460216617283,81.71000322366254
2023-04-01,18831.60258475372,3424.023575598123,18831.60258475372,15407.579009155597,81.81767292407577
2023-04-02,18676.71590115773,3359.94270984206,18479.167687457684,15316.773191315671,82.00999186568029
2023-04-03,18708.591482572105,3297.061122439485,18133.328636493527,15411.53036013262,82.37675388063903
